genome,completeness,contamination
MGYG000000001.fa,68.72,1.72
MGYG000000002.fa,90.73,2.40
MGYG000000003.fa,87.55,0.9
MGYG000000004.fa,97.98,0.00
MGYG000000005.fa,100,0.00
MGYG000000006.fa,95.16,1.61
MGYG000000007.fa,99.33,0.00
