#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000000005_01291	216816.GS08_00935	1.66e-53	174.0	29ZFS@1|root,30MFB@2|Bacteria,2ISQI@201174|Actinobacteria,4D189@85004|Bifidobacteriales	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000005_01326	216816.GS08_01230	3.27e-191	531.0	COG0325@1|root,COG0325@2|Bacteria,2GMRJ@201174|Actinobacteria,4CZUY@85004|Bifidobacteriales	201174|Actinobacteria	S	Pyridoxal 5'-phosphate (PLP)-binding protein, which is involved in PLP homeostasis	-	-	-	ko:K06997	-	-	-	-	ko00000	-	-	-	Ala_racemase_N
MGYG000000005_01392	216816.GS08_06685	0.0	2030.0	COG0383@1|root,COG0383@2|Bacteria,2GM02@201174|Actinobacteria,4CYWB@85004|Bifidobacteriales	201174|Actinobacteria	G	Alpha mannosidase, middle domain	-	-	3.2.1.24	ko:K01191	ko00511,map00511	-	-	-	ko00000,ko00001,ko01000,ko04131	-	GH38	-	Alpha-mann_mid,Glyco_hydro_38,Glyco_hydro_38C
MGYG000000005_01424	216816.GS08_06535	1.51e-236	649.0	COG2017@1|root,COG2017@2|Bacteria,2GJ0H@201174|Actinobacteria,4CYWN@85004|Bifidobacteriales	201174|Actinobacteria	G	Aldose 1-epimerase	-	-	5.1.3.3	ko:K01785	ko00010,ko00052,ko01100,ko01110,ko01120,ko01130,map00010,map00052,map01100,map01110,map01120,map01130	M00632	R01602,R10619	RC00563	ko00000,ko00001,ko00002,ko01000	-	-	-	Aldose_epim
MGYG000000005_01456	1437610.BREU_2276	0.0	934.0	COG3579@1|root,COG3579@2|Bacteria,2HCVR@201174|Actinobacteria,4CZD8@85004|Bifidobacteriales	201174|Actinobacteria	E	Peptidase C1-like family	-	-	3.4.22.40	ko:K01372	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Peptidase_C1_2
MGYG000000005_01553	561180.BIFGAL_03933	6e-15	71.2	2BFF7@1|root,3298X@2|Bacteria,2IN83@201174|Actinobacteria,4D15M@85004|Bifidobacteriales	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000005_01586	216816.GS08_09590	1.73e-310	845.0	COG1168@1|root,COG1168@2|Bacteria,2GJFQ@201174|Actinobacteria,4CZFH@85004|Bifidobacteriales	201174|Actinobacteria	E	Aminotransferase, class I II	-	-	4.4.1.8	ko:K00842,ko:K14155	ko00270,ko00450,ko01100,ko01110,ko01230,map00270,map00450,map01100,map01110,map01230	-	R00782,R01286,R02408,R04941	RC00056,RC00069,RC00382,RC00488,RC00710,RC01245,RC02303	ko00000,ko00001,ko01000,ko01007	-	-	-	Aminotran_1_2
MGYG000000005_01684	216816.GS08_05345	6.65e-145	409.0	COG0789@1|root,COG0789@2|Bacteria,2GM67@201174|Actinobacteria,4CZ0X@85004|Bifidobacteriales	201174|Actinobacteria	K	helix_turn_helix, mercury resistance	merR2	-	-	-	-	-	-	-	-	-	-	-	MerR_1
MGYG000000005_01750	216816.GS08_04185	2.37e-183	511.0	COG0345@1|root,COG0345@2|Bacteria,2GJ7D@201174|Actinobacteria,4CZIV@85004|Bifidobacteriales	201174|Actinobacteria	E	Catalyzes the reduction of 1-pyrroline-5-carboxylate (PCA) to L-proline	proC	-	1.5.1.2	ko:K00286	ko00330,ko01100,ko01110,ko01130,ko01230,map00330,map01100,map01110,map01130,map01230	M00015	R01248,R01251,R03291,R03293	RC00054,RC00083	ko00000,ko00001,ko00002,ko01000	-	-	-	F420_oxidored,P5CR_dimer
MGYG000000005_01816	216816.GS08_10345	4.56e-243	668.0	COG1609@1|root,COG1609@2|Bacteria,2GJBJ@201174|Actinobacteria,4D0MI@85004|Bifidobacteriales	201174|Actinobacteria	K	helix_turn _helix lactose operon repressor	-	-	-	-	-	-	-	-	-	-	-	-	LacI,Peripla_BP_3
