genome1,genome2,dist,similarity
CAJPIR01.fa,CAJPIR01.fa,0.0,1.0
CAJPIS01.fa,CAJPIR01.fa,1.0,0.0
CAJPIU01.fa,CAJPIR01.fa,1.0,0.0
CAJPIT01.fa,CAJPIR01.fa,1.0,0.0
CAJPIQ01.fa,CAJPIR01.fa,1.0,0.0
CAJPIP01.fa,CAJPIR01.fa,1.0,0.0
CAJPIO01.fa,CAJPIR01.fa,1.0,0.0
CAJPIV01.fa,CAJPIR01.fa,1.0,0.0
CAJPIW01.fa,CAJPIR01.fa,1.0,0.0
CAJPIR01.fa,CAJPIS01.fa,1.0,0.0
CAJPIS01.fa,CAJPIS01.fa,0.0,1.0
CAJPIU01.fa,CAJPIS01.fa,1.0,0.0
CAJPIT01.fa,CAJPIS01.fa,1.0,0.0
CAJPIQ01.fa,CAJPIS01.fa,1.0,0.0
CAJPIP01.fa,CAJPIS01.fa,1.0,0.0
CAJPIO01.fa,CAJPIS01.fa,1.0,0.0
CAJPIV01.fa,CAJPIS01.fa,1.0,0.0
CAJPIW01.fa,CAJPIS01.fa,1.0,0.0
CAJPIR01.fa,CAJPIU01.fa,1.0,0.0
CAJPIS01.fa,CAJPIU01.fa,1.0,0.0
CAJPIU01.fa,CAJPIU01.fa,0.0,1.0
CAJPIT01.fa,CAJPIU01.fa,1.0,0.0
CAJPIQ01.fa,CAJPIU01.fa,1.0,0.0
CAJPIP01.fa,CAJPIU01.fa,1.0,0.0
CAJPIO01.fa,CAJPIU01.fa,1.0,0.0
CAJPIV01.fa,CAJPIU01.fa,1.0,0.0
CAJPIW01.fa,CAJPIU01.fa,1.0,0.0
CAJPIR01.fa,CAJPIT01.fa,1.0,0.0
CAJPIS01.fa,CAJPIT01.fa,1.0,0.0
CAJPIU01.fa,CAJPIT01.fa,1.0,0.0
CAJPIT01.fa,CAJPIT01.fa,0.0,1.0
CAJPIQ01.fa,CAJPIT01.fa,1.0,0.0
CAJPIP01.fa,CAJPIT01.fa,1.0,0.0
CAJPIO01.fa,CAJPIT01.fa,1.0,0.0
CAJPIV01.fa,CAJPIT01.fa,1.0,0.0
CAJPIW01.fa,CAJPIT01.fa,1.0,0.0
CAJPIR01.fa,CAJPIQ01.fa,1.0,0.0
CAJPIS01.fa,CAJPIQ01.fa,1.0,0.0
CAJPIU01.fa,CAJPIQ01.fa,1.0,0.0
CAJPIT01.fa,CAJPIQ01.fa,1.0,0.0
CAJPIQ01.fa,CAJPIQ01.fa,0.0,1.0
CAJPIP01.fa,CAJPIQ01.fa,1.0,0.0
CAJPIO01.fa,CAJPIQ01.fa,1.0,0.0
CAJPIV01.fa,CAJPIQ01.fa,1.0,0.0
CAJPIW01.fa,CAJPIQ01.fa,1.0,0.0
CAJPIR01.fa,CAJPIP01.fa,1.0,0.0
CAJPIS01.fa,CAJPIP01.fa,1.0,0.0
CAJPIU01.fa,CAJPIP01.fa,1.0,0.0
CAJPIT01.fa,CAJPIP01.fa,1.0,0.0
CAJPIQ01.fa,CAJPIP01.fa,1.0,0.0
CAJPIP01.fa,CAJPIP01.fa,0.0,1.0
CAJPIO01.fa,CAJPIP01.fa,1.0,0.0
CAJPIV01.fa,CAJPIP01.fa,1.0,0.0
CAJPIW01.fa,CAJPIP01.fa,1.0,0.0
CAJPIR01.fa,CAJPIO01.fa,1.0,0.0
CAJPIS01.fa,CAJPIO01.fa,1.0,0.0
CAJPIU01.fa,CAJPIO01.fa,1.0,0.0
CAJPIT01.fa,CAJPIO01.fa,1.0,0.0
CAJPIQ01.fa,CAJPIO01.fa,1.0,0.0
CAJPIP01.fa,CAJPIO01.fa,1.0,0.0
CAJPIO01.fa,CAJPIO01.fa,0.0,1.0
CAJPIV01.fa,CAJPIO01.fa,1.0,0.0
CAJPIW01.fa,CAJPIO01.fa,1.0,0.0
CAJPIR01.fa,CAJPIV01.fa,1.0,0.0
CAJPIS01.fa,CAJPIV01.fa,1.0,0.0
CAJPIU01.fa,CAJPIV01.fa,1.0,0.0
CAJPIT01.fa,CAJPIV01.fa,1.0,0.0
CAJPIQ01.fa,CAJPIV01.fa,1.0,0.0
CAJPIP01.fa,CAJPIV01.fa,1.0,0.0
CAJPIO01.fa,CAJPIV01.fa,1.0,0.0
CAJPIV01.fa,CAJPIV01.fa,0.0,1.0
CAJPIW01.fa,CAJPIV01.fa,1.0,0.0
CAJPIR01.fa,CAJPIW01.fa,1.0,0.0
CAJPIS01.fa,CAJPIW01.fa,1.0,0.0
CAJPIU01.fa,CAJPIW01.fa,1.0,0.0
CAJPIT01.fa,CAJPIW01.fa,1.0,0.0
CAJPIQ01.fa,CAJPIW01.fa,1.0,0.0
CAJPIP01.fa,CAJPIW01.fa,1.0,0.0
CAJPIO01.fa,CAJPIW01.fa,1.0,0.0
CAJPIV01.fa,CAJPIW01.fa,1.0,0.0
CAJPIW01.fa,CAJPIW01.fa,0.0,1.0
